_id,_importdate,收容所編號,名稱,縣市,郵遞區號,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考,lat,lon
1,2025-06-16 17:45:56.935378,SA100-0002,臺北市立螢橋國民中學,臺北市,100,中正區,林興里,汀州路三段四號,學校,Y,備用,N,N,Y,Y,Y,N,板溪里、網溪里、螢圃里、林興里、河堤里、頂東里、文盛里、富水里、水源里,52,209,黃君宜,02-23688667#500,陳錦謀,02-23688667#100,,25.0193319,121.5262566
2,2025-06-16 17:45:56.947934,SA100-0003,臺北市立大學附設實驗國民小學,臺北市,100,中正區,黎明里,公園路29號,學校,Y,Y,N,N,Y,Y,Y,N,黎明里、建國里、新營里、龍福里,157,1062,羅傑,02-23110395#840,吳家瑞,02-23110395#800,,25.0363239,121.5152926
3,2025-06-16 17:45:56.950020,SA100-0004,臺北市立弘道國民中學,臺北市,100,中正區,建國里,公園路21號,學校,Y,Y,N,N,Y,Y,Y,N,光復里、建國里、黎明里、東門里、龍福里、幸福里、文北里,130,520,曾正一,02-23715520#500,唐廷俊,02-23715520#100,,25.0375358,121.5153138
4,2025-06-16 17:45:56.951555,SA100-0005,二二八和平公園,臺北市,100,中正區,黎明里,凱達格蘭大道3號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,5424,21696,陳煌耀,02-23032451,陳煌耀,02-23032451,,25.0402885,121.5156071
5,2025-06-16 17:45:56.952973,SA100-0006,臺北市中正運動中心,臺北市,100,中正區,東門里,信義路一段1號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,東門里、文祥里、三愛里、文北里,250,2457.96,陳泓維,02-25702330#6425,陳凱頻,02-25702330#6425,,25.0383595,121.5193255
6,2025-06-16 17:45:56.954300,SA100-0007,臺北市立中正國民中學,臺北市,100,中正區,新營里,愛國東路158號,學校,Y,備用,N,N,Y,Y,Y,N,新營里、文祥里、文北里、南福里,300,1800,蔡宜芬,02-23916697#501,林泰安,02-23916697#101,,25.0323241,121.5220997
7,2025-06-16 17:45:56.955494,SA100-0008,臺北市立第一女子高級中學,臺北市,100,中正區,建國里,重慶南路一段165號,學校,Y,備用,N,N,Y,Y,Y,N,光復里、黎明里、建國里,60,500,賴祝宏,02-23820484#600,陳智源,02-23820484#200,,25.0404898,121.5129822
8,2025-06-16 17:45:56.956797,SA100-0009,臺北市立古亭國民中學,臺北市,100,中正區,永功里,中華路二段465號,學校,Y,備用,N,N,Y,Y,Y,N,永昌里、螢雪里、永功里、忠勤里、龍興里,60,1200,顏錦江,02-23090986#510,莊豐兆,02-23090986#101,,25.0246402,121.5106049
9,2025-06-16 17:45:56.958087,SA100-0010,臺北市立成功高級中學,臺北市,100,中正區,幸福里,濟南路一段71號,學校,Y,備用,N,N,Y,Y,Y,N,幸福里、文北里,31,300,連育賢,23216256#231,劉晶晶,23216256#201,,25.0433029,121.5189775
10,2025-06-16 17:45:56.959532,SA100-0011,臺北市中正區忠孝國民小學,臺北市,100,中正區,梅花里,忠孝東路二段101號,學校,N,備用,N,N,Y,Y,Y,N,幸福里、幸市里、梅花里,30,54,宋志倫,02-23918170#831,李亦欣,02-23918170#800,,25.0428773,121.5315887
